Opcion1,Opcion2,Opcion3,Opcion4,Opcion5
Go,,,,
Java,Python,,,
Kotlin,,,,
Java,Go,Nodejs,,
Python,,,,
Java,C#,Python,Go,Rust
C#,Python,,,
Python,Nodejs,,,
Python,,,,
Java,,,,
Go,,,,
PHP,,,,
C++,Java,Python,Nodejs,PHP
Python,,,,
Nodejs,Java,,,
Java,,,,
Nodejs,,,,
Go,Ruby,,,
Go,,,,
Java,,,,
PHP,Nodejs,Java,,
Python,,,,
Go,Nodejs,Ruby,Python,PHP
C++,,,,
Rust,,,,
Python,Nodejs,Go,,
C#,,,,
Python,C#,Nodejs,,
Ruby,,,,
Scala,Go,,,
Go,Python,,,
Python,Java,Go,,
Java,,,,
Java,Python,Nodejs,,
Python,,,,
Rust,,,,
Python,,,,
Java,C#,Python,Nodejs,C++
Java,,,,
Nodejs,Java,Python,,
Rust,Scala,,,
C++,Java,,,
Python,,,,
Python,Ruby,Java,C#,
Java,,,,
C++,Java,,,
C#,Nodejs,,,
Go,C#,,,
Go,C#,,,
Nodejs,,,,
C#,,,,
PHP,,,,
PHP,Python,,,
Nodejs,,,,
C++,,,,
Rust,,,,
Python,PHP,Nodejs,Rust,
Python,Nodejs,,,
Kotlin,,,,
Java,Python,,,
Java,C#,,,
Go,,,,
C#,Python,,,
Ruby,,,,
Nodejs,,,,
Go,,,,
Rust,,,,
Go,,,,
Go,Python,,,
C++,Nodejs,,,
PHP,,,,
Nodejs,C#,,,
Python,,,,
Java,,,,
Python,C++,,,
C++,,,,
C#,Python,,,
Nodejs,,,,
Java,,,,
PHP,,,,
Python,Rust,,,
C++,,,,
C++,,,,
Java,,,,
Ruby,,,,
Python,,,,
Go,,,,
Go,,,,
Python,,,,
Java,,,,
Rust,C++,Go,,
C#,,,,
Nodejs,Go,Python,,
Python,,,,
Nodejs,,,,
Nodejs,,,,
Ruby,Python,,,
Python,,,,
Nodejs,PHP,,,
PHP,,,,
Python,,,,
Java,Nodejs,,,
C#,Python,,,
Python,Go,,,
Python,,,,
C#,,,,
Go,,,,
C++,Python,,,
Nodejs,,,,
Go,Kotlin,,,
Python,Nodejs,,,
C++,,,,
Python,,,,
Nodejs,Python,,,
C++,,,,
Java,Python,Nodejs,,
Python,,,,
Java,Python,C#,,
Go,Nodejs,Python,Java,
Nodejs,,,,
Rust,,,,
Python,,,,
Nodejs,Python,,,
C++,,,,
Python,,,,
Rust,C++,Kotlin,,
Go,,,,
Elixir,,,,
Elixir,,,,
Elixir,,,,
Python,,,,
Cobol,,,,
Cobol,,,,
C#,Ruby,Nodejs,,
Nodejs,Python,,,
C#,,,,
Perl,,,,
Python,,,,
Python,Nodejs,,,
Pascal,Python,Java,,
Python,,,,
Java,,,,
Java,Python,,,
Go,,,,
Go,,,,
C++,Java,PHP,,
Java,Python,PHP,,
Ruby,,,,
C#,,,,
Nodejs,,,,
C#,,,,
Go,,,,
Haskel,,,,
C++,Python,,,
Python,,,,
Java,,,,
C++,,,,
Rust,,,,
Go,,,,
Rust,,,,
Go,,,,
Rust,,,,
Rust,,,,
Go,C#,Nodejs,,
Ruby,Java,,,
Go,Nodejs,,,
Go,Nodejs,Python,,
Ruby,Python,,,
Ruby,,,,
Python,,,,
C++,,,,
C++,,,,
Java,Go,,,
Python,Nodejs,,,
Python,PHP,,,
Java,Python,Nodejs,,